text,likes,followers
i feel so shitty about my body today I want to starve but my dad is taking me out to lunch I'm gonna cry,1.0,343.0
photo grow share giraffe prefer lunch radar tribe able dinner blossom trip,0.0,7.0
"Kia ora!!! Welcome to Vietnam. 

Your local cuisine dish will be 🥁 
 
Vietnamese pancakes!!!  

I challenge you to eat this dish with a coffee spoon. And without closing your elegant eyes.",0.0,51.0
"In the 1950's, housewives were initially resistant to instant cake mixes - they made cooking too easy.

So manufacturers changed the recipe to require adding an egg - this led to greater adoption.

Consumers value products more highly when they have a hand in their creation.",0.0,35.0
"i want you to make yourself your lunch and let it sit until it's perfectly mouldy for you to eat 😌

findom femdom paypig asianfindom whalesub",3.0,277.0
"Had some weird dreams last night, one of them being that I met Aaron Rogers and we were eating some random like French food??? 

Weird.",0.0,42.0
..Wanna go get some lunch?,0.0,329.0
"Are you checking out the weirdo setting howler monkeys loose on the dance floor? That's just a power bottom going to town on some Top Ramen, and they do NOT look happy to see you, girl.",0.0,78.0
"Good morning, #Hudson! The Professor is in and getting ready for Lunch.",0.0,37.0
"hello! not new to edtwt (switched accs) + looking for new moots &lt;3

➜ lio, 6teen, she/her
➜ 170cm 
➜ cw 63 | ugw 49
➜ not fatphobic + very interactive 
➜ ♡s kpop, anime, …

 ♡ / ↻ to be moots!
🏷️: edtwt bonespo thinspo fatspo ricecaketwt meanspo sweetspo fasting diet",4.0,14.0
"20-30 min wait to get a dosa at avrebele mela , I give up 🤣🤣",0.0,98.0
"If Totenham wins tonight,.. am dropping video having lunch with Zuchu",45.0,7474.0
"If you see it do it

pronouns   : he/him
height         : 6'
shoe size    : 11 mens
zodiac sign : Leo
smoke         : yes
tattoos        : yes
piercings     : never
fav color      : green
fav drink      : whiskey cocktails",1.0,106.0
"Send $10 for my morning smoothie 

$send4shopping",1.0,9351.0
"So thats how i was in the mood to make soup and i was indecisive... either ogbono and okra or Afang soup, so i wrote my list and went to the market",0.0,1051.0
"Kirkland Organic Salsa, Kirkland Wild Alaskan Fish Oil 1400 mg, Seasoned Pork Back Ribs Baby Back Ribs, Fletcher's Black Forest Ham, Fresh Wild Ahi Tuna",0.0,86.0
"Breakfast:   ☕ Hot Beverage  (2 servings)  🍪 Cookie  (2 servings) 
 Lunch:   🍸 Cocktail Glass  (2 servings)  🍶 Sake  (1 serving)  🍌 Banana (1 serving)
 Dinner:  🍠 Roasted Sweet Potato (2 servings) 🍆 Eggplant  (1 serving)  🥩 Cut of Meat  (1 serving)",0.0,11.0
"The general public in South Africa drinks tea and coffee in the day to wake up but at night to fall asleep. At least in Cae town
They are quite the stressed out people, hypertension is quite common, and the affects of excess stress from living in a murderous hell are visible",0.0,144.0
"I need gastronomy tv producer oomf to come back from Spain; the fantasy is not the same without them! 😭😂

Another oomf knows sssuper famous celebs, and eating out with them is dope/a ki; but it’s NOT gastronomy-nerdy like with the producer!

(Which is what you want at a rest.)",0.0,80.0
With #GlobalCitizenFestival been used a case study for other events held during the holidays. I think the @GlblCtzn remains the master brewery of them all,0.0,252.0
Went for a swim just now. Was going to go for walk after lunch but weather gone grotty again.,0.0,974.0
finally bought a flask so i can have hot meals for lunch at work (we do not have a microwave)…….. this willl be my year (because i will enjoy many soups),7.0,907.0
"Juza: This time it went a bit well...I think. 
Sakuya: Right, right! Let's go eat crepes on the way back!",0.0,9.0
"When I first started building an audience back in May 2022, I put in about 15 hours a week on top of my day job. 

For months, it was what I did before work, during lunch, and on weekends.

Create. Write. Study. Experiment.

It was a slog:

(A story-thread for audience builders)",294.0,71455.0
why is everyone suddenly baking cookies at the same time,0.0,142.0
"I’ve been drinking more water and kombucha and smoking A-LOT less…and I feel better. 

Not that I felt bad before…but I feel better https://t.co/QcxdPv9xdu",2.0,2378.0
"Every day I go to work I'm amazed at the things I've achieved, then I go to the canteen and drool down my own chin while I'm trying to eat my lunch.",1.0,240.0
Construction lunch break alarm,0.0,2618.0
getting canceled by the woke mob at golden corral for scooping up handfuls of mashed potatoes with my bare hands and eating it where I stand,11.0,3875.0
"Nottingham people, y'all don't eat amala??? Why can't I find Amala here . I'm dying please😭😭",0.0,2188.0
"Loool they way the donny just sweeted the Caribbean aunty in the takeaway shop for his meal to be dropped to £8 pounds is hilarious. He was like mummmy it’s me, i’m a regular you can’t do me like this.",6.0,5400.0
I be pissed and then be like “you want me to make you lunch”,0.0,523.0
"Does Oreo cookies in Asia especially India and Pakistan contains Halal or Haraam ingredients. Plz clerified that thing🙏🙏

@Oreo @Oreo",0.0,15.0
"I know these are bagels, and therefore Anger, but they are very low in fat, high fibre and fairly low calorie.",0.0,32.0
"So someone sat down, saw bitter leaf and thought; this leaf would make a very ‘tasty’ soup! 

Then went ahead and made bitter-leaf soup a thing? 

And y’all enjoying it?

Who hurt you?",4.0,1404.0
I had a dream last night where I went back to Miami and the overpriced healthfood smoothie place I like had special chairs on the sidewalk for sunning ones genitals. The chairs were all in use. I feel like this will actually be a thing one day soon,10.0,2265.0
im going to try that hack where you microwave eggs in leftover instant noodle soup to make spicy steamed eggs,5.0,1020.0
i told someone at work i was dieting and apparently i’m inspiring them to do the same 😭,0.0,59.0
"Are you struggling to lose body weight no matter how hard you may exercise or how many strict diets you go on? Not anymore! Alpilean, your body weight losing partner is based on a blend of 6 alpine nutrients and plants designed to target and optimize low inner body temperature",1.0,0.0
If she eats fufu and waakye with a spoon 🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩,0.0,1129.0
Saturday in full swing! Had a massive lunch and now spread on the bed,6.0,914.0
I'm waiting for Noah so we can go get lunch together.,0.0,16.0
"Using today to enjoy being in Florida.

A friend and I are going to the art &amp; farmers market in town!

I might also go to the beach later!",3.0,306.0
"# Dont get suckered in by bear market rallies, says GMOs gleefully bearish founder 🥕🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳🥚🥨🥩🍖🍗🍍🍑🥓🥙🍑🍳🥚🍤Impasse on financial disclosure rules threatened more than $2tn of shares in US-listed Chinese companies",0.0,1.0
"When you go out for breakfast or lunch, look for a diner/cafe/local dive for great food, support local businesses . Say hello to the wait staff, be friendly, smile, eat with a passion  and tip generously.",1.0,431.0
"Just had leftover South Indian Garlic Chilli my Mum ordered me last night for lunch,a very good one, the curry not my Mum, though she's a very good one too.",2.0,421.0
"After 5 weeks training while on keto diet (&lt; 20 net carbs/day), lost 12 lbs but 9 lost during week 1. Stronger now, sustaining ketosis, and 5 mile daily runs getting easy. 18 lbs to go before race day. I hate starting abs work with a passion! 🥲
#FitnessMotivation 
#ketodiet",3.0,1520.0
Indian street food,0.0,1529.0
I beg of people making thai food to stop putting peanut butter and calling it pad thai,0.0,97.0
"Let us eat lunch together today! Hm? ""Are you asking me on a date?"" I-I could never do something so unabashedly! Though, I also would not mind if you wished to-!!",0.0,266.0
"PAX Lunch @ Hwy 55 Burgers Shakes &amp; Fries, 3700 S Memorial Dr E, Greenville, NC 27834, USA
Jan 07, 2023 12:00PM - Jan 07, 2023 01:00PM (60.0 minutes)",0.0,1127.0
"Last two days have gone well, overslept and missed a meeting with a prof and a lunch, and somehow managed to fall asleep this evening as well and be late for a dinner by an hour 😑",0.0,6.0
trying to eat my lunch and getting a call that the fucking alarm is going off lord give me PEACE,0.0,42.0
i’m on some housewife shit. packing my boyfriend a lunch in his heated lunch box i got him 💓,0.0,202.0
Prayers then mixed fruits smoothie to break fast after this morning’s “prison workout” 📈,1.0,2119.0
"besties i need u
my boss gave me lunch, i ate the filling of a smallish vegetarian sausage roll, and the filling of a palm sized veg empanada
what is edtwt's cal estimate here?",6.0,613.0
# Decision follows sharp rise in food prices due to Russias invasion of Ukraine and Covid pandemic 🍎🍐🍊🥫🍳🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑🍇A tariff on Russian oil could pave the way to an embargo,0.0,1.0
Ya pockets on a diet nigga I’m calling you Atkins,2.0,322.0
how tf am i supposed to skip lunch at school pls help,1.0,84.0
At this rate me haffi go start use ramen noodles as egg noodles fuck it,0.0,2483.0
the way I did all of my assignments I ate lunch worked out and skz still have to perform,1.0,65.0
The lunch I made today &gt;&gt;&gt; my price suppose don increase,1.0,1048.0
THe Food At Southern Fire Kitchen Was Top Tier 🤌🏾,0.0,1080.0
I didn't know there was a Nigerian🇳🇬 Restaurant in Mobay. Why there isn't 1 in Kingston? I wanna try Jollof Rice 👀.,0.0,129.0
i ate too much for lunch,0.0,1057.0
I was thinking about how I wished I didn't have to do anything today and then my mom called to say today's aide canceled because she's sick so we can't meet for lunch and now I feel like I cruelly monkey pawed my family :(,2.0,2319.0
"You violated our agreement. You promised we’d eat lunch together, but you run off somewhere else! You promised you would practice here, yet you never show up...!",0.0,60.0
I know what I’m eating for lunch,0.0,51.0
"# Russian leader says terms of agreement reached in July caused global shortages Scientists say weather will stay hotter and drier until November, compounding concerns about food and energy",0.0,3.0
I’ve made a fruit smoothie three days in a row. I guess you could say I’m a health guru now.,8.0,1718.0
Street food day!,0.0,152.0
"Uninstall all food delivery app , discipline na sa pagkain :) Back to steam foods diet na lang !",0.0,326.0
"Have u had lunch??

Answer me",0.0,385.0
"OJ references his line from The Taco Show, ""I will not be threatened by Mexican food!""",0.0,140.0
me not bringing lunch to work = doordash whew this habit gotta stop lbs,0.0,900.0
"I think I’m addicted to Halal food 😩
I wake up thinking about it lmaooo",1.0,1166.0
"Tsukasa: I’m not very well-acquainted with how other families prepare lunches. I do love how colorful your bento is, Hajime-kun. Did someone in your family make yours for you? Hajime: No, I made my own lunch today. Although most of the time, I just pack last night’s leftovers.",0.0,15.0
"After a long time, I ate so much that I wanted to fall asleep right after having lunch.
I now understand why babies and kids fall asleep right after having milk and food.
If I were rich enough to not worry about money to fund my lifestyle, I would just eat, go to gym n enjoy art",2.0,1931.0
I want some Jamaican food 😩,0.0,179.0
Karen’s diner has left me traumatised and I will not go out for lunch again in my life,3.0,466.0
"Mos def wanted a hot chocolate and the lunch special broad day, sick man",0.0,299.0
"01/07/2023
I bought a new smartphone in Akihabara. It costs 3000 yen. Very cheap!! After that, ate tsukemen with father. This ramen was rare, because the suigyoza was in the ramen. It was delicious.
I wanna eat again!!
＃英語日記",1.0,0.0
Craving Thai food,0.0,180.0
Smoothie for breakfast 🥲🥲,1.0,2267.0
"🗓 Today 9am-12pm @ Franklin Farmer's Market (230 Franklin Rd, 37064) @SFFNash",1.0,611.0
"🗓 Today 9am-12pm @ Franklin Farmers Market  (230 Franklin Rd, 37064) @SFFNash",0.0,4432.0
I get chick fil a every damn day for lunch 😭,0.0,189.0
"By the time lunch rolls around, Ari realises he’s spent the last two and a half hours acting like a pathetic puppy waiting for its owner to come home, periodically wondering about what he’ll say to Hyojin when he shows his pretty face.",0.0,40.0
"this is a lunch's menu, Roasted Prawn🍤, severed with Taco🌮 , then vegetable for today will recommend with Eggplant🍆",0.0,31.0
"Hemp crops are tall, have thick foliage, and can be planted densely, and thus can be grown as a smother crop to kill tough weeds. Using hemp this way can help farmers avoid the use of herbicides, gain organic certification, and gain the benefits of crop rotation.",0.0,1482.0
"RULES TO SUCCEED IN 2023                1. Have friends who discuss; starting a business, investing,gym and diet, self development                                        2. Don’t tell people more than they need to know. RESPECT YOUR PRIVACY",29.0,1264.0
"Daughter turns 10 tomorrow- and wants ME to make a chocolate cake- ""and not from a kit"" 
It has been a slow journey since lockdown to doing more baking - scone syes- biscuits yes- sometimes other things yes..

But now 

foolproof recipes please 

@Teamenglish1 pls rt #TeamEnglish",0.0,65.0
"my instagram explore is all books, recipes, and anti-diet stuff. love it here.",4.0,685.0
"I had fish and chips (it was delicious) yesterday for lunch but now I feel gross, I should of had a shower when I came home also I didn’t even need to have dinner",0.0,41.0
Fast forward 45 days please because I’m so ready for kbbq,6.0,643.0
Skipping breakfast and lunch tmrw and exercising early in the morning on an empty stomach yass,2.0,16.0
I think I want a smoothie bowl today,0.0,1276.0
"Have kids?  No clubbin’, no acting “sexy.” breakfast-lunch-dinner should always be prepared if you don’t have a job, school activities and education must be tended to, work must be in order &amp; their mental and physical health must be monitored.  Not doing that?  Ur a FRAUD 💫",0.0,16.0
"No one needed lunch today so I skipped lunch. I can cook delightly if someone eat with, though. l’m happy I have a family to cook.",1.0,70.0
There isn't really any grab and go Indian Street food is there?,2.0,1162.0
"Even if you offend me i will still come to ur party, afterall it's you who offended me, not the jollof rice 😀😁",19.0,509.0
"Coffee vs Energy drinks, fight!",0.0,75.0
"The cookies cookied but didn’t cookie the way I expected them to cookie.
Baking is tough🥲",1.0,4003.0
"Lots of people losing weight just now and telling people on here. Wonder if the same people will tell everyone they gained it all back in March?

#diet #weightlosstips",0.0,87.0
"Had a big Mac for lunch, no breakfast no dinner no snack. Bulking szn fr",1.0,61.0
"Idc how healthy my diet is, doubles issa must on a Saturday/Sunday",0.0,39.0
"Sure, eating healthier can help you lose weight, but can it help you live longer? As it turns out, modifying your diet can add 9 years to your life expectancy. ♾️",6.0,151650.0
"if you go to artisan and get pastries and coffee, and order a tofu sandwich, that’s breakfast and lunch ready to go right there and you can enjoy the coffee while you wait for the sandwich, genius",2.0,646.0
"Diet rule #1: If nobody sees you eating it, it doesn’t contain any calories.

Madhavee 

JANTA KI JAAN PRIYANKA",1.0,98.0
I love that my bf comes and eats lunch w me at work 🫶🏼 makes my whole shift better just to laugh w him 💗,8.0,574.0
2:498 Daily tweets to @VancityReynolds in the hopes of a reply and I'm wondering if you'll do a @firstwefeast #hotones interview? I would LOOOOOVE to see you eat hot wings! Is that weird 😕 🤔  Nah lol,0.0,40.0
I ORDERED MY LUNCH BOX UWUUU,1.0,9.0
Country Drive and Lunch by Absolutely Free from Two Cares Due None (Original Soundtrack),0.0,350.0
"Succeeded Trivial unforgettable. Changes, lunch,... Performing
؟?
نمشے

🔹BM10🔹
🔹BM10🔹
🔹BM10🔹",0.0,112.0
"Back on the road getting some miles in the legs, nothing much or quick but getting used to running/breathing again before training starts, diet/nutrition plan sorted

2 weeks till official training plan starts but getting back into it feels good

@runforall #mnd #runforrob",2.0,373.0
okay but i need skz to perform now i still havent eat my lunch yet,0.0,6727.0
"Halal- meat this ensures people live and we need it to be healthy and blessed,sacrifice for a much inferior life for the sake of starvation #sacrificialmeat",0.0,37.0
"I can’t decide whether I want to drink a cocktail, champagne or brutal fruit 🫠",0.0,2161.0
There is another real recipe from before the 80s one that got out and it has sugar in it and you eat little cakes of it,0.0,3.0
"“Mmmm, greek salad...”",0.0,630.0
"Any dommes in London wanting shopping / lunch / meets please dm x

Findom femdom humanatm paypig paypigs finD whalesub slave sub silent send silentsend",11.0,144.0
"After lunch, I strim
We keep working on Momochi's model!",16.0,2956.0
Lunch time fruit.,0.0,37.0
"The Satur-deja Vu is gonna be a little late today. Look for this afternoon, after lunch, as I have other business to attend to shortly. Please, thank you, and God bless.",0.0,377.0
We blasting Brandy this AM. Smoothie then gym then baby shower lol,0.0,278.0
"Having coffee and a croissant, this morning it’s a very French breakfast",0.0,50.0
coworkers jealous of my car not bc I can drive but bc I can spend my lunch break napping in it 😎,3.0,118.0
"Had gone to Bijbehara, to attend a prayer meeting for our leader Mufti sb. Done around lunch time, some youngsters suggested a local food joint. Sought police permission which was flatly denied. 
That is  normal Kashmir.
 On way back kept wondering who I am? Do I belong here?",172.0,13324.0
*Takes a sip out of my smoothie* Today you will find out the true meaning of what a charades is,0.0,36.0
We could go to all the farmers markets and sun nights in forests and we could go to country bumpkin things and have smart days out in Harrogate and go and have weekends away in the moors and park at the coastline and eat well and love long and prosperous,0.0,1.0
Let's try saimin but instead of spam use filipino pork adobo (usa🤝philippines),0.0,8.0
Starting a diet plan before embarking on a 4 month trip was such a dumb idea. But here I am buying a scale to pack in my bag so I can cook pasta in Bangkok instead of eating cheap and delicious street food,0.0,448.0
"Need to make my smoothie, it’s timeeeeeee😊!!!",0.0,257.0
"Got lunch from a popular tea chain, it smelt great but tasted mid and I don’t feel too well now either 🙃",7.0,347.0
Walking in the street while drinking smoothie 😂😁,0.0,24.0
"I’ve realized tracking calories is not for me, it just makes me more likely to binge I just…. Eat as little as possible and obviously low calorie foods but I feel like I eat more when I track #edtwt",1.0,27.0
"I always wished to be in a friend group. And at some point I did, but I kinda felt like a ghost and at some point when we went out of lunch group to do something else . 1hr  later I came back and they didn't notice..yeah I stopped trying to make actual friends and I got 1 left .",0.0,1.0
# Why the investment sweet spot may no longer be appropriate today Decision follows sharp rise in food prices due to Russia’s invasion of Ukraine and Covid pandemic,0.0,1.0
Still accepting birthday gifts… I like lunch/dinner,0.0,627.0
I wanna eat my lunch so bad 😭😭😭,0.0,1501.0
My gym instructor explicitly told me to follow my diet plan and not eat anything else and here I am chowing down on pasta like it's my last meal,7.0,242.0
Stone Buenaveza  is now on tap at Regent Square!  (@stonebrewingco)  Replacing Brooklyn Lager  (@BrooklynBrewery),0.0,2390.0
"I almost arrived late to work today b r u h

I didn’t get a chance to eat tacos for breakfast but it’s ok, I made the same smoothie I eat everyday

I’m ok…",0.0,138.0
"Having an amazing self care Saturday. Breakfast at my fave coffee spot, pilates and full body massage with my bestie and now I’m relaxing before dinner and drinks. You work hard just to hand it over to me to make sure I’m always happy, relaxed and spoiled. 💗",16.0,5807.0
Never order the expensive dish on menu when some1 is giving you lunch/dinner.,0.0,3482.0
Ordering a smoothie without sugar bc of the diet is like ordering expensive water with color bc wtf is this 😭😭😭,6.0,284.0
we're always having lunch during award shows.,1.0,818.0
i feel and look like garbage half the time and im tired all day everyday with no free time and my diet has consisted of nothing but junk food recently this is my downfall,4.0,474.0
"# Analysis of more than 3,000 public messages shows a systematic misalignment on climate-related activities 🥐🥖🥞🍯🍞🥐🥖🍎🍐🍊🥫🍳🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚Home cocktail-making boosts revenues despite supply chain disruptions",0.0,0.0
# New UK prime minister vows to end three-year ban and get gas flowing in as soon as six months 🍖🍗🍍🍑🥓🥙🍑🍳🥚🍤🍖🍗🍊🍇🍓🍬🍫🍿🍩🍪🍒🍈🥑🍳🥚🍤🍒🍊Russia and Ukraine sign grain deal to avert global food crisis,0.0,1.0
"#BreakingNews 

A 6 years old, shooting a teacher, not even during lunch break, in the #Speakerofthehousevote break. 

But #Republicans don't talk about guns, they pray to them and make it look like is for the victim. 

@AOC @elonmusk @tommyboy0690",2.0,36.0
the other day at lunch abbas asked ana if shes ready for her daughter delisha to be in her rempit era. what the fuck is his problem pls 😭,0.0,713.0
preping my mental and emotional health with all my comfort foods coz no effing way am i ready for today's episode of #AlchemyOfSouls2Ep9,0.0,489.0
"For now, Nel suggests including these vegetables as part of a healthy diet.",0.0,0.0
"na ""our wife"" brought breakfast.we're waiting for ""our another wife"" to bring lunch

make we sha no go chop poison 🙄🙁",32.0,2048.0
all kind of doritos is good it would be nice to have doritos for lunch that sound good,0.0,59.0
"S-senpai? What do you think about today’s lunch? I think I’m improving b— oh the band-aids? Don’t worry, senpai, I’m just a bit clumsy.",0.0,41.0
"[ FOOD ] have you eaten today? no? that won't do at all! come sit here with me, i made double my lunch just for you!~☆",0.0,474.0
"Hello and welcome to ""Today I Fucked Up""

Today I fucked up when I went to work feeling like shit, decided to take a nap 4 hrs into my shift at lunch. Woke up and realized I missed 2 hrs of my shift (I was supposed to be gone for 1hr)

Funny enough no one noticed I was gone",1.0,273.0
for now i just ate lunch it was 120 and i already burned 138,0.0,51.0
263 calories for lunch. i am embarrassing,0.0,27.0
Send for My lunch on Wishtender.,29.0,3807.0
# Europes biggest gas supplier signals willingness to help alleviate the continents energy crisis 🥐🥖🥞🍯🍞🥐🥖🍎🍐🍊🥫🍳🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚Home cocktail-making boosts revenues despite supply chain disruptions,0.0,0.0
a food truck wants to make bagel a Host,0.0,8.0
"I’m actually so fatigued today. Came on me around ten o’clock and thought it’d pass after I’d a bit of sugar on lunch but I’m more exhausted now afterwards. Not even sleepy, just knackered",1.0,659.0
"The difference between nutrition plans that make you and those that break you is simple:

Good plans don't make eating miserable &amp; stressful.

Research shows many diets work, but ADHERENCE = long-term results.

Everything else (carbs, superfoods, time you eat) are just details.",22.0,129744.0
my favorite thing to do when I’m mad is shop and take myself to lunch/dinner so that’s what I’m gone do today 😂,0.0,1900.0
i want a smoothie this morning!,0.0,2798.0
"Republican House members who took part in the coup, celebrating because they can. 2 years and NOT ONE INDICTMENT for their crimes. Because they ARE above the law. It doesn't take 2 years to bring 1 indictment. It takes a grand jury about 30 minutes before lunch.",5.0,7480.0
I STAYED HERE TWO HOURS AND THE MOMENT I HAVE LUNCH STRAY KIDS WINS AN AWARD I'M SO HAPPELY AND PROUD BUT I WANTED TO SEE,1.0,171.0
my bf is at the farmers market heyyyy babe,0.0,53.0
"Well, progress has been made. Not as much as I wanted but I'm also tired and I've a new approach which I think is much more robust easier to keep track of.

Some very short bits of music and sound effects, tile cursor/targetter system implemented. Lunch then back to it. #LD52",1.0,11.0
"Egusi is never overrated, either your mummy can't Cook or your tongue don spoil.",9.0,1508.0
Some good soul food breakfast would be so clutch right now!,0.0,191.0
Is it too early to ordering Jamaican food?,1.0,9026.0
moots what’s your biggest comfort food that you could eat forever?,30.0,223.0
"Which one eatery must I halt at for lunch (vegetarian and non-vegetarian fare) in #Mangalore ? 
@MangaloreCity",1.0,365.0
Middle eastern food is so good I need to learn how to make that Greek yogurt sauce 🤌🏾,0.0,315.0
qqq my grandads kinda cute sometimes he wanted to cook lunch again  so he can spare me the time to study like aww thank u but im not eating that disaster of a rice bowl ever again ill cook dont wory 👍,0.0,265.0
"# Decision follows sharp rise in food prices due to Russias invasion of Ukraine and Covid pandemic 🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳🥚🥨🥩🍖🍗As companies buy up Scottish land to boost their ESG credentials, local farmers feel the pinch",0.0,1.0
"O, to be 16 again! Beeing able to eat metric tons of sweets and junk food and look like a greek athlet nevertheless...

Ok, I never looked like an athlet, because u have to do sports for that, but at least I was skinny!",0.0,83.0
"The  sun  doesn't  know  whether  you  have  got  lunch  or not 😒
It burns  your  forehead  no matter  😭",38.0,5313.0
"however strong    ""Last call for tickets to the Chairwoman’s Luncheon! If you would like to join Chairwoman Dorothy Moon for lunch at our Winter meeting on Jan 7, tickets can be purchased at the link below. January 3rd will be the last day to purchase luncheon tickets. 🥥🍑🧇",0.0,1.0
watch skz perfom when i go eat lunch,1.0,590.0
THEY'RE PLAYING KILL BILL IN THE SUSHI RESTAURANT OMG,2.0,309.0
"i said ""what if i just ate the rest of my maltesers for lunch"" and nobody said anything. now i feel sick so its everyone elses fault for not stopping md",1.0,1604.0
"As usual, finding room ulit sa monday (ft. 30minutes lunch time)",1.0,481.0
"i had my anaphy class, had my lunch &amp; did workout &amp; still no svt performance ._.",2.0,9033.0
"The best smoothie blend in this world is banana, red grapes and pomegranate seeds. Taste sweet for those with sweet tooth and also has all the nutrients.",1.0,5833.0
"Hood nigga Been eating real healthy lately…,but ima keep keep some chicken or beef ramen noodles on standby 😅🤟🏽",0.0,858.0
"If indomie is called fast food, abeg wetin garri be 🙄🙄🙄🚶🚶🚶🚶🙆",13.0,2165.0
"8:45 a.m.
I have already explained how horses sleep, Why chocolate pancake is sweet. Been asked to make spaghetti and ice cream for lunch. Answered why running through the kitchen is a bad.
Also got given a “pokey” for my troubles and got a sticker for being brave. #ToddlerLife",5.0,6265.0
"PhD in Emotional Intelligence....🙂

I wonder what if we see 
PhD in pubg
PhD in reels
PhD in shorts .😭😭

PhD in dosa 
PhD in upma...🏃🏼‍♀️🏃🏼‍♀️",5.0,234.0
Lunch with @thee_samstar is always one of the best decisions I make in a day 🥹,0.0,730.0
