text,likes,impressions,followers
"Reduce your cravings, or better yet, replace what you would normally splurge on with a healthy smoothie.",0.0,57.0,1873.0
3 hours in the lunch tent now going home 🤪,0.0,69.0,252.0
I could really use a glass of melted ice cream right now with a bit of fruit rolls to nibble on... #thirsty #drinks #snacks #yummy,0.0,6.0,93.0
It’s a two week out item ordered two boxed for next week. Forgot how many wrestlers are cutting weight remember to suggest it as snacks it’s non gmo project,0.0,6.0,7.0
Gonna sustain a healthy diet over my days off (4 beers for breakfast and not eating until just before I go to bed),1.0,45.0,43.0
i need the trans of what chanyeol said in the food truck,0.0,65.0,753.0
Albert Collins—Soul Food,0.0,1.0,147.0
"Another Sunday as an Ekiti downline, today I no fit carry pounded yam over... Sundays are for pounded yam!.... Don't ask, yh, I no fit pound am from start to finish.... I can only kill it, if you know what that means 😂🤲🏽",3.0,36.0,152.0
that feeling when a big chunk of hard-boiled egg peels off with the shell. 😑,56.0,9639.0,304330.0
Missed you a lil extra this week. Maybe coz it’s your bday week? Maybe. I saw your lunch date with your friends. You already introduced her to them.,0.0,19.0,190.0
I need to make a slime smoothie rn,2.0,30.0,24.0
Let me make a beetroot and watermelon smoothie 🤭,1.0,2368.0,104916.0
My bf packed me tamales for lunch at work🥹🥹🥹🥹,0.0,7.0,31.0
Breakfast and lunch dates are way better than dinner.,0.0,31.0,996.0
"I want to go on a date where we head to an aquarium in the morning, then have something yummy for lunch, then an arcade to play some games, then compass cafe to just sit and play some more

Would be pretty damn cool 😎",1.0,478.0,1776.0
- I’m Going To Captain D’s For Lunch I Think Yes !,0.0,99.0,1181.0
It’s not unusual to have instant ramen past midnight right? 🫣 #AskingForAFriend,1.0,26.0,591.0
"this is a lunch's menu, Stewed Chicken🍗, severed with Rice🍚 , then vegetable for today will recommend with Tomato🍅",0.0,1.0,31.0
I’m gonna have the teriyaki chicken set for lunch today...☆,0.0,7.0,387.0
"Hennessy Cognac go along with butterfly pea kombucha 🦋 and quail eggs as the snack! Oh Lord, I just run 5.5k, but end the day with those. What a life.",0.0,42.0,209.0
Preparing lunch rn 🌼,0.0,16.0,770.0
i wonder if i can microwave my meal in this container?? *reads the underside* ah. it is all japanese,2.0,111.0,702.0
"I had a fish finger sandwich for lunch, I'm currently drinking chocolate milk and I have pie and chips lined up for tea. I have very few regrets today 🙂",27.0,1489.0,1593.0
"for dinner tonight, a version of coq au vin, alfredo farfalle,  sauteed broccoli with radish greens",0.0,13.0,221.0
"Nashua Liberty Social - 5:30 to 7 tonight at @Able_Beer.
Donali Food Truck is there today but wraps up at 6PM so if you are looking for food, please be there before that.",0.0,38.0,284.0
